Staff ID,Position Title,School Name,Hire Date,Resident,Race/Ethnicity
30,BEHAVIOR STRATEGIST,CoolSchool,2/9/2004,YES,White
31,INSTRUCTIONAL COACH,HardKnocks,1/13/2005,NO,Black
32,SOCIAL SCIENCE,CoolSchool,6/1/2005,YES,Hispanic
33,MULTICATEGORICAL,Hogwarts,8/18/2005,NO,White
34,SOCIAL SCIENCE,Hogwarts,8/18/2005,NO,White
35,SOCIAL SCIENCE,Hogwarts,8/18/2005,NO,Multi-Racial
36,LANGUAGE ARTS,Hogwarts,1/19/2006,YES,White
37,MULTICATEGORICAL,CoolSchool,8/17/2006,NO,White
38,COUNSELOR,CoolSchool,8/17/2006,YES,White
39,MATH,CoolSchool,7/12/2007,YES,White
40,SCIENCE,CoolSchool,8/16/2007,NO,White
41,LANGUAGE ARTS,Hogwarts,8/16/2007,NO,White
42,INSTRUCTIONAL COACH,Hogwarts,1/14/2008,NO,White
43,MATH,Hogwarts,8/14/2008,NO,White
44,SCIENCE,HardKnocks,8/20/2009,NO,Black
45,SOCIAL SCIENCE 6TH ONLY,CoolSchool,9/9/2009,NO,White
46,LANGUAGE ARTS,CoolSchool,2/3/2010,YES,Hispanic
47,MATH,CoolSchool,1/31/2011,NO,Hispanic
48,MULTICATEGORICAL,CoolSchool,8/18/2011,NO,Hispanic
49,INSTRUCTIONAL COACH,CoolSchool,8/14/2012,NO,White
50,MULTICATEGORICAL,Hogwarts,8/14/2012,NO,White
51,BEHAVIOR DISORDERS,HardKnocks,8/16/2012,YES,White
52,MS HEAD BAND DIR,CoolSchool,8/16/2012,NO,White
53,LANGUAGE ARTS,CoolSchool,9/25/2012,NO,White
54,LANGUAGE ARTS,HardKnocks,11/26/2012,NO,Black
55,MS HEAD VOCAL MUSIC,HardKnocks,12/5/2012,YES,White
56,SOCIAL SCIENCE,CoolSchool,2/18/2013,YES,Multi-Racial
57,BEHAVIOR STRATEGIST,HardKnocks,8/2/2013,NO,White
58,ART,CoolSchool,8/15/2013,NO,White
59,MATH,HardKnocks,8/15/2013,YES,White
60,SPANISH,Hogwarts,8/15/2013,NO,White
61,ENG LANG LEARNER,Hogwarts,8/15/2013,NO,White
62,MATH 6TH ONLY,CoolSchool,10/16/2013,NO,White
63,BEHAVIOR DISORDERS,HardKnocks,8/8/2014,NO,Black
64,LANGUAGE ARTS 6TH ONLY,HardKnocks,8/11/2014,NO,White
65,COUNSELOR,CoolSchool,8/11/2014,NO,White
66,MULTICATEGORICAL,CoolSchool,8/11/2014,NO,White
67,MATH,HardKnocks,8/11/2014,NO,White
68,SCIENCE,Hogwarts,8/11/2014,NO,White
69,SCIENCE,HardKnocks,10/14/2014,YES,White
70,BUSINESS EDUC TCHR,Hogwarts,1/28/2015,NO,Hispanic
71,SCIENCE,CoolSchool,7/27/2015,NO,White
72,LANGUAGE ARTS 6TH ONLY,Hogwarts,8/14/2015,NO,White
73,MATH,CoolSchool,8/14/2015,NO,White
74,MATH,Hogwarts,8/14/2015,YES,White
75,LANGUAGE ARTS,Hogwarts,8/17/2015,YES,White
76,ART,HardKnocks,8/19/2015,NO,White
77,BEHAVIOR DISORDERS,HardKnocks,8/19/2015,NO,White
78,MS HEAD BAND DIR,Hogwarts,8/19/2015,YES,White
79,BEHAVIOR DISORDERS,CoolSchool,8/19/2015,NO,White
80,MULTICATEGORICAL,CoolSchool,8/21/2015,YES,White
81,MATH 6TH ONLY,HardKnocks,8/21/2015,NO,White
82,LANGUAGE ARTS,Hogwarts,8/26/2015,YES,White
83,SOCIAL SCIENCE,CoolSchool,2/9/2016,YES,White
84,ACADEMIC INTERVENT MATH 6-8,Hogwarts,2/9/2016,YES,White
85,SCIENCE,HardKnocks,8/12/2016,NO,White
86,ACADEMIC INTERVENT READ 6-8,Hogwarts,8/15/2016,NO,White
87,SCIENCE,Hogwarts,8/15/2016,NO,White
88,INTELLECTUAL DIS TCHR,CoolSchool,8/17/2016,NO,White
89,LANGUAGE ARTS,CoolSchool,9/15/2016,NO,Hispanic
90,BEHAVIOR DISORDERS,Hogwarts,1/5/2017,NO,White
91,BEHAVIOR STRATEGIST,CoolSchool,1/26/2017,NO,White
92,PHYSICAL EDUCATION,CoolSchool,8/11/2017,NO,White
93,INTELLECTUAL DIS TCHR,CoolSchool,8/11/2017,NO,White
94,MULTICATEGORICAL,CoolSchool,8/11/2017,YES,Multi-Racial
95,ART,Hogwarts,8/14/2017,YES,White
96,SOCIAL SCIENCE,CoolSchool,8/14/2017,NO,White
97,MULTICATEGORICAL,CoolSchool,8/14/2017,YES,White
98,MULTICATEGORICAL,Hogwarts,8/14/2017,NO,White
99,ENG LANG LEARNER,HardKnocks,8/16/2017,NO,White
100,BEHAVIOR STRATEGIST,Hogwarts,8/16/2017,NO,White
101,SOCIAL SCIENCE,HardKnocks,9/19/2017,NO,White
102,MS HEAD BAND DIR,HardKnocks,9/27/2017,YES,White
103,MULTICATEGORICAL,HardKnocks,1/25/2018,YES,White
104,SCIENCE,Hogwarts,8/13/2018,NO,White
105,ENG LANG LEARNER,HardKnocks,8/13/2018,YES,White
106,MATH,HardKnocks,8/16/2018,NO,White
107,BEHAVIOR STRATEGIST,Hogwarts,8/16/2018,YES,White
108,LANGUAGE ARTS,CoolSchool,8/28/2018,YES,Black
109,MULTICATEGORICAL,HardKnocks,10/15/2018,YES,White
110,SPANISH,HardKnocks,12/14/2018,YES,White
111,MULTICATEGORICAL,CoolSchool,1/10/2019,NO,White
112,MATH 6TH ONLY,CoolSchool,2/5/2019,YES,White
113,LANGUAGE ARTS,HardKnocks,8/9/2019,NO,Multi-Racial
114,LANGUAGE ARTS,CoolSchool,8/9/2019,YES,White
115,MULTICATEGORICAL,HardKnocks,8/9/2019,NO,White
116,SOCIAL SCIENCE,CoolSchool,8/9/2019,YES,Hispanic
117,HEALTH,CoolSchool,8/12/2019,NO,Multi-Racial
118,ENG LANG LEARNER,Hogwarts,8/12/2019,NO,White
119,LANGUAGE ARTS,HardKnocks,8/12/2019,NO,White
120,MS HEAD VOCAL MUSIC,CoolSchool,8/12/2019,NO,White
121,SPANISH,HardKnocks,8/12/2019,NO,White
122,PHYSICAL EDUCATION,CoolSchool,8/12/2019,NO,White
123,MATH,HardKnocks,8/12/2019,NO,White
124,SCIENCE 6TH ONLY,Hogwarts,8/12/2019,YES,White
125,MULTICATEGORICAL,CoolSchool,8/12/2019,NO,White
126,MATH,HardKnocks,8/12/2019,NO,White
127,INTELLECTUAL DIS TCHR,Hogwarts,8/15/2019,NO,White
128,TECHNOLOGY EDUCATION,Hogwarts,8/21/2019,YES,White
129,MS HEAD VOCAL MUSIC,Hogwarts,12/23/2019,NO,White
130,MATH 6TH ONLY,HardKnocks,1/16/2020,NO,White
131,SCIENCE,CoolSchool,2/17/2020,NO,White
132,MATH,HardKnocks,8/10/2020,NO,White
133,MULTICATEGORICAL,HardKnocks,8/13/2020,NO,White
134,LANGUAGE ARTS,HardKnocks,8/13/2020,NO,White
135,SCIENCE,CoolSchool,8/13/2020,YES,White
136,LANGUAGE ARTS,HardKnocks,8/13/2020,NO,White
137,MULTICATEGORICAL,Hogwarts,8/13/2020,NO,White
138,LANGUAGE ARTS,HardKnocks,8/13/2020,NO,White
139,BUSINESS EDUC TCHR,CoolSchool,8/13/2020,NO,White
140,SCIENCE,CoolSchool,8/13/2020,YES,White
141,COUNSELOR,HardKnocks,8/13/2020,NO,White
142,PHYSICAL EDUCATION,Hogwarts,8/17/2020,NO,White
143,LANGUAGE ARTS,HardKnocks,8/27/2020,YES,White
